DATE,,,WATER,FIBER,CALORIES,,EATING WINDOW,,,,WEIGHT,,,
1,SUN,,,,,,,,,,,,AVG WATER:,104 oz
2,MON,,,,,,,,,,,,AVG FIBER:,22 g
3,TUE,,,,,,,,,,,,AVG CALORIES:,"1,766 kcal"
4,WED,,,,,,,,,,,,,
5,THU,,,,,,,,,,,,LOWEST WEIGHT:,192 lbs
6,FRI,,,,,,,,,,,,,
7,SAT,,,,,,,,,,,,,
8,SUN,,,,,,,,,,,,,
9,MON,,,,,,,,,,,,,
10,TUE,,,,,,,,,,,,,
11,WED,,,,,,,,,,,,,
12,THU,,,,,,,,,,,,,
13,FRI,,,,,,,,,,,,,
14,SAT,,,,,,,,,,,,,
15,SUN,,,,,,,,,,,,,
16,MON,,,,,,,,,,,,,
17,TUE,,,,,,,,,,,,,
18,WED,,,,,,,,,,,,,
19,THU,,,,,,,,,,,,,
20,FRI,,86 oz,9 g,"1,200 kcal",,1:00 PM,3:00 PM,2 Hours,,195 lbs,,,
21,SAT,,98 oz,38 g,"2,905 kcal",,2:00 PM,6:00 PM,4 Hours,,193 lbs,,,
22,SUN,,107 oz,40 g,"1,370 kcal",,2:00 PM,4:00 PM,2 Hours,,194 lbs,,,
23,MON,,103 oz,17 g,"1,140 kcal",,1:00 PM,3:00 PM,2 Hours,,193 lbs,,,
24,TUE,,87 oz,24 g,"2,565 kcal",,11:00 AM,4:00 PM,5 Hours,,n/a,,,
25,WED,,95 oz,22 g,"2,220 kcal",,1:00 PM,5:00 PM,4 Hours,,194 lbs,,,
26,THU,,107 oz,18 g,"1,375 kcal",,1:00 PM,5:00 PM,4 Hours,,193 lbs,,,
27,FRI,,123 oz,17 g,"2,010 kcal",,1:00 PM,3:00 PM,2 Hours,,193 lbs,,,
28,SAT,,107 oz,19 g,"1,610 kcal",,12:00 PM,4:00 PM,4 Hours,,193 lbs,,,
29,SUN,,133 oz,17 g,"1,510 kcal",,12:00 PM,4:00 PM,4 Hours,,192 lbs,,,
30,MON,,92 oz,19 g,"2,110 kcal",,10:00 AM,2:00 PM,4 Hours,,192 lbs,,,
31,TUE,,108 oz,20 g,"1,175 kcal",,11:00 AM,4:00 PM,5 Hours,,n/a,,,
